ISBN,title,author,year,total_ratings,average_rating
0451459067,Dhampir,Barb Hendee,2003,8,8.0
0802130119,The Master and Margarita,Mikhail Bulgakov,1987,8,8.0
0064402053,"Sarah, Plain and Tall (Sarah, Plain and Tall)",Patricia MacLachlan,2004,8,8.0
0449911594,Dinner at the Homesick Restaurant : A Novel,ANNE TYLER,1996,8,8.0
0345379144,Zombies of the Gene Pool,Sharyn McCrumb,1996,8,8.0
0446524131,Something More: Excavating Your Authentic Self,Sarah Ban Breathnach,1998,8,8.0
038073186X,Shutter Island,Dennis Lehane,2004,8,8.0
0380756269,Man of My Dreams (Sherring Cross (Paperback)),Johanna Lindsey,1992,8,8.0
1551666022,"Dakota Home (Dakota Trilogy, Book 2)",Debbie Macomber,2000,8,8.0
0515103969,The Endearment,LaVyrle Spencer,1994,8,8.0
0671742493,Delta Of Venus,Anais Nin,1991,8,8.0
1551668270,Cold Tea On A Hot Day,Curtiss Matlock,2001,8,8.0
0446610232,The Ice Limit,D. Preston,2001,8,8.0
0385475772,Nine Parts of Desire: The Hidden World of Islamic Women,Geraldine Brooks,1996,8,8.0
0060185074,The Vendetta Defense,Lisa Scottoline,2001,8,8.0
0449910830,The All-True Travels and Adventures of Lidie Newton: A Novel (Ballantine Reader's Circle),Jane Smiley,1999,8,8.0
0771099975,As for Me and My House (New Canadian Library),Sinclair Ross,1995,8,8.0
0449211681,Paragon Walk,Anne Perry,1994,8,8.0
0446613053,The Crush,Sandra Brown,2003,8,8.0
0399140751,The Cat Who Said Cheese,Lilian Jackson Braun,1996,8,8.0
0449219569,Comeback,Dick Francis,1994,8,8.0
0441006930,"Marlfox (Redwall, Book 11)",Brian Jacques,2000,8,8.0
1558747060,"Chicken Soup for the Single's Soul - 101 Stories of Love and Inspiration for the Single, Divorced and Widowed",Jack Canfield,1999,8,8.0
0385285965,Legends of the Fall,Jim Harrison,1980,8,8.0
0451207874,When You Go Away (Nal Accent Novels),Jessica Barksdale Inclan,2003,8,8.0
0517207346,How to Live with a Neurotic Cat,STEPHEN BAKER,1999,8,8.0
0446522740,The Celestine Vision: Living the New Spiritual Awareness,James Redfield,1997,8,8.0
1551666650,Hurricane Bay,Heather Graham,2003,7,8.0
0380728265,Blind Descent: : An Anna Pigeon Mystery (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1999,7,8.0
0553282980,Dead Poets Society,N.H. Kleinbaum,1989,7,8.0
0805010858,I Is for Innocent (A Kinsey Millhone Mystery),Sue Grafton,1992,7,8.0
0786918055,"War of the Twins (Dragonlance Legends, Vol. 2)",Margaret Weis,2001,7,8.0
0441089348,Burning Chrome (Ace Science Fiction),William Gibson,1994,7,8.0
0380798565,The Ape Who Guards the Balance : An Amelia Peabody Mystery,Elizabeth Peters,1999,7,8.0
0312985207,Stephen Coonts' Deep Black (Deep Black),Stephen Coonts,2003,7,8.0
0380779617,Annie's Song,Catherine Anderson,1996,7,8.0
038073320X,The Gazebo: A Novel,Emily Grayson,2000,7,8.0
0340682272,Snap Happy,Fiona Walker,1999,7,8.0
0385311109,Promises,Belva Plain,1996,7,8.0
0553275860,Narcissus and Goldmund,Hermann Hesse,1984,7,8.0
0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,7,8.0
0553257382,When the Legends Die,Hal Borland,1984,7,8.0
0399137734,Dragon Tears,Dean R. Koontz,1993,7,8.0
0399141227,Montana Sky,Nora Roberts,1996,7,8.0
0553266578,The Unwanted,John Saul,1987,7,8.0
0060283130,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,7,8.0
0425102416,Across Five Aprils,Irene Hunt,1987,7,8.0
078688505X,Pure Drivel,Steve Martin,1999,7,8.0
0380792028,Glorious Angel,Johanna Lindsey,2002,7,8.0
044809505X,"The Secret of Shadow Ranch (Nancy Drew Mystery Stories, No 5)",Carolyn Keene,1965,7,8.0
0786886307,Stolen Lives : Twenty Years in a Desert Jail (Oprah's Book Club (Paperback)),Malika Oufkir,2002,7,8.0
0679736662,The Three Stigmata of Palmer Eldritch,PHILIP K. DICK,1991,7,8.0
0440932599,Deenie,JUDY BLUME,1991,7,8.0
0553561278,For the Sake of Elena,Elizabeth George,1993,7,8.0
0671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),Ann Rule,1994,7,8.0
0394588169,Jurassic Park,MICHAEL CRICHTON,1990,7,8.0
0140434259,Sense and Sensibility,Jane Austen,1999,7,8.0
0671870998,The Wedding,Julie Garwood,1996,7,8.0
0553346687,"\Surely You're Joking, Mr. Feynman!\"": Adventures of a Curious Character""",Richard P. Feynman,1990,7,8.0
1551667363,The Snow Bride,Debbie Macomber,2003,7,8.0
0345428811,"Star Wars: Episode II, Attack of the Clones",R. A. Salvatore,2002,7,8.0
1853260037,Father Brown: Selected Stories (Wordsworth Collection),G. K. Chesterton,1998,7,8.0
0515136182,Light in Shadow,Jayne Ann Krentz,2003,7,8.0
051512902X,After Dark,Jayne Castle,2000,7,8.0
0812533534,Seventh Son (Tales of Alvin Maker (Paperback)),Orson Scott Card,1988,7,8.0
0849942845,The Note - A Novel -,Angela Elwell Hunt,2001,7,8.0
0385315147,Smilla's Sense of Snow,Peter Hoeg,1995,7,8.0
014043223X,The Portrait of a Lady (Penguin Classics),Henry James,1988,7,8.0
0440225442,One False Move (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,1999,7,8.0
0786888067,The Snow Garden : A Novel,Christopher Rice,2003,7,8.0
0449000265,8 Weeks to Optimum Health,Andrew Weil M.D.,1998,7,8.0
0451458508,The Pillars of the World,Anne Bishop,2001,7,8.0
0860681297,The Edible Woman,Margaret Eleanor Atwood,1980,7,8.0
0449227944,"Asylum (Blackstone Chronicles, No 6)",JOHN SAUL,1997,7,8.0
039914496X,Certain Prey,John Sandford,1999,7,8.0
2266102621,Les Heures / The Hours,Michael Cunningham,2001,7,8.0
0871137534,The Dress Lodger,Sheri Holman,2000,7,8.0
0812533313,The Worthing Saga,Orson Scott Card,1992,7,8.0
1551668696,Courage Tree,Diane Chamberlain,2002,7,8.0
042519471X,A Superior Death (Anna Pigeon Mysteries (Paperback)),Nevada Barr,2003,7,8.0
0385333498,The Sirens of Titan,Kurt Vonnegut,1998,7,8.0
0373872127,The Courage to Dream,Margaret Daley,2003,7,8.0
0140445285,Crime and Punishment (Penguin Classics),Fyodor Dostoyevsky,1993,7,8.0
0451411013,The Grave Maurice (Richard Jury Novels),Martha Grimes,2003,7,8.0
9681501225,Siddharta (Mexican Edition),Hermann Hesse,1998,7,8.0
2070415686,"Le Guide galactique, tome 1",Jean Bonnefoy,2000,7,8.0
0553277464,Beaches,Iris Rainer Dart,1990,7,8.0
0590484125,The Magic School Bus in the Haunted Museum: A Book About Sound (Magic School Bus (Paperback)),Joanna Cole,1995,7,8.0
0670846503,Gerald's Game,Stephen King,1992,7,8.0
067943853X,Of Love And Other Demons,GABRIEL GARCIA MARQUEZ,1995,7,8.0
155166576X,"Dakota Born (Dakota Trilogy, Book 1)",Debbie Macomber,2000,7,8.0
0670894370,A Common Life : The Wedding Story (The Mitford Years),Jan Karon,2001,7,8.0
0345363310,Demon Lord of Karanda (Malloreon (Paperback Random House)),DAVID EDDINGS,1989,7,8.0
0876120796,Autobiography of a Yogi,P. Yogananda,1979,7,8.0
0679853065,A Day No Pigs Would Die,Robert Newton Peck,1994,7,8.0
0380978857,The Golden One,Elizabeth Peters,2002,7,8.0
0805054073,Timbuktu,Paul Auster,1999,7,8.0
037383568X,Buckhorn Brothers: Casey,Lori Foster,2002,7,8.0
0380780879,Murder on a Bad Hair Day: A Southern Sisters Mystery,Anne George,1996,7,8.0
0449210952,Death in the Devil's Acre,Anne Perry,1989,7,8.0
0061099643,Imajica,Clive Barker,1992,7,8.0
0679781498,Less Than Zero,BRET EASTON ELLIS,1998,7,8.0
0451160533,She Who Remembers,Linda Lay Shuler,1989,7,8.0
0765108674,"Politically Correct, the Ultimate Storybook: Politically Correct Bedtime Stories, Once upon a More Enlightened Time, and Politically Correct Holiday Stories",James Finn Garner,1998,6,8.0
0066620724,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,2001,6,8.0
0553583611,Fatal,MICHAEL PALMER,2003,6,8.0
0517573822,Jimmy Stewart and His Poems,Jimmy Stewart,1997,6,8.0
0671648144,IF THERE BE THORN (Dollanger Saga (Paperback)),V.C. Andrews,1987,6,8.0
0060081961,Once Upon a Town: The Miracle of the North Platte Canteen,Bob Greene,2002,6,8.0
0393310396,Letters to a Young Poet,Rainer Maria Rilke,2004,6,8.0
1400060923,"Lost Boy, Lost Girl",PETER STRAUB,2003,6,8.0
0688158129,The Pact : A Love Story,Jodi Picoult,1998,6,8.0
0451524497,Anna Karenina (Signet Classics (Paperback)),Leo Tolstoy,1988,6,8.0
1931561230,Sleep Toward Heaven: A Novel,Amanda Eyre Ward,2003,6,8.0
0515109746,Hellion Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,6,8.0
0385337132,The 37th Hour,JODI COMPTON,2003,6,8.0
0060175818,The First Eagle,Tony Hillerman,1998,6,8.0
0876853904,Women,Charles Bukowski,1978,6,8.0
0743422732,High Country Bride (McKettrick Cowboys),Linda Lael Miller,2002,6,8.0
0743436830,"River Road (Ross, Joann. Callahan Brothers Trilogy, 2.)",JoAnn Ross,2002,6,8.0
0060009241,See Jane Score (Avon Romance),Rachel Gibson,2003,6,8.0
0380007959,The Science Fiction Hall of Fame: The Greatest Science Fiction Stories of All Time (Science Fiction Hall of Fame),Robert Silverberg,1971,6,8.0
0671769316,NEW ROADSIDE AMERICA : THE MODERN TRAVELER'S GUIDE TO THE WILD AND WONDERFUL WORLD OF AMERICA'S TOURIST,Doug Kirby,1992,6,8.0
0553111132,Justice Hall,LAURIE R. KING,2002,6,8.0
0743435338,Diplomatic Immunity,Lois McMaster Bujold,2002,6,8.0
0440132789,Evergreen,Belva Plain,1987,6,8.0
0842329145,Nicolae: The Rise of Antichrist (Left Behind #3),Tim Lahaye,1997,6,8.0
0812558626,Briar Rose,Jane Yolen,1993,6,8.0
0451525027,"Innocents Abroad or the New Pilgrims Progress: Being Some Account of the Steamship Quaker City's Pleasure Excursion to Europe and the Holy Land : With Descriptions of Countries, Nations, Incidents",Mark Twain,1997,6,8.0
0802134092,On Love,Alain de Botton,1995,6,8.0
0152017682,"The Darkangel: The Darkangel Trilogy, Volume I",Meredith Ann Pierce,1998,6,8.0
0156030209,Life of Pi : Student Edition,Yann Martel,2004,6,8.0
0812507428,"People of the Earth (The First North Americans series, Book 3)",W. Michael Gear,1992,6,8.0
055357289X,"Shadow Dawn (Chronicles of the Shadow War, Book 2)",George Lucas,1998,6,8.0
0375700269,Evening,SUSAN MINOT,1999,6,8.0
1558744029,Chicken Soup for the Surviving Soul: 101 Healing Stories to Comfort Cancer Patients and Their Loved Ones,Jack Canfield,1996,6,8.0
1561706213,Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,1998,6,8.0
0786868414,Leadership,Rudolph W. Giuliani,2002,6,8.0
0060392991,Have a Nice Day : A Tale of Blood and Sweatsocks,Mick Foley,1999,6,8.0
0062516329,"Spiral Dance, The - 20th Anniversary : A Rebirth of the Ancient Religion of the Goddess: 20th Anniversary Edition",Starhawk,1999,6,8.0
0380800810,How to Marry a Marquis (Avon Romantic Treasure),Julia Quinn,1999,6,8.0
0440129613,The Godwulf Manuscript,Robert B. Parker,1996,6,8.0
0743255224,Name All the Animals : A Memoir,Alison Smith,2004,6,8.0
0684874318,Flesh And Blood,Michael Cunningham,1996,6,8.0
037570387X,The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith,2003,6,8.0
0061013412,Orchid Beach (Holly Barker Novels (Paperback)),Stuart Woods,1999,6,8.0
0553212982,Macbeth (Bantam Classics),William Shakespeare,1988,6,8.0
0671047515,Hell's Kitchen,Jeffery Deaver,2001,6,8.0
042513024X,The A.B.C. Murders,Agatha Christie,1993,6,8.0
0452270073,Regeneration (William Abrahams Book),Pat Barker,1993,6,8.0
0553583905,Kingdom Of Moonlight,Josie Litton,2002,6,8.0
0140241930,Lady of Avalon,Marion Zimmer Bradley,1998,6,8.0
0452284236,Nineteen Eighty-Four: A Novel,George Orwell,2003,6,8.0
0876850867,Post Office,Charles Bukowski,1980,6,8.0
0756400619,The Serpent's Shadow,Mercedes Lackey,2002,6,8.0
0385335970,Dragonfly in Amber,DIANA GABALDON,2001,6,8.0
0064401707,Scary Stories to Tell in the Dark : Collected from American Folklore (Scary Stories),Alvin Schwartz,1986,6,8.0
0671685635,Ghost Story,Peter Straub,1989,6,8.0
0345456939,Gone Too Far,SUZANNE BROCKMANN,2004,6,8.0
006447352X,Fire and Hemlock,Diana Wynne Jones,2002,6,8.0
0688167810,Wonder When You'll Miss Me,Amanda Davis,2003,6,8.0
0140390227,"The Awakening, and Selected Stories",Kate Chopin,1998,6,8.0
0451193288,Reckless Endangerment,Robert K. Tanenbaum,1999,6,8.0
0140390316,The Jungle (The Penguin American Library),Upton Beall Sinclair,1989,6,8.0
0312317751,An Egg on Three Sticks,Jackie Fischer,2004,6,8.0
0451210727,Murder of a Barbie and Ken (National Bestselling Series),Denise Swanson,2003,6,8.0
0886775876,The Legend of Nightfall (Daw Book Collectors),Mickey Zucker Reichert,1993,6,8.0
0671722131,Some Can Whistle,Larry McMurtry,1990,6,8.0
188712876X,Get Your War On,David Rees,2002,6,8.0
0886772540,"Exile's Gate (Morgaine Saga, Book 4)",C.J. Cherryh,1988,6,8.0
0385335180,Moon Women,Pamela Duncan,2001,6,8.0
0451524063,"Four Major Plays: A Doll House, the Wild Duck, Hedda Gabler, the Master Builder (Signet Classics (Paperback))",Henrik Ibsen,1989,6,8.0
019281513X,Jane Eyre (World's Classics),Charlotte Bronte,1980,6,8.0
0486284999,Narrative of the Life of Frederick Douglass (Dover Thrift Editions),Frederick Douglass,1995,6,8.0
0486275574,Romeo and Juliet (Dover Thrift Editions),William Shakespeare,1993,6,8.0
0385327943,Midnight Predator,Amelia Atwater-Rhodes,2002,6,8.0
015696158X,When God Was a Woman (Harvest/Hbj Book),Merlin Stone,1978,6,8.0
0671003518,The BRIDE - PROMOTIONAL,Julie Garwood,1996,6,8.0
0812522826,Letters To Jenny,Piers Anthony,1994,6,8.0
0140449124,Madame Bovary,Gustave Flaubert,2003,6,8.0
0671526723,Audrey Hepburns Neck,Alan Brown,1997,6,8.0
0553574116,Wicked Widow,Amanda Quick,2001,6,8.0
1885211155,Gutsy Women: Travel Tips and Wisdom for the Road (Travelers' Tales),Marybeth Bond,1996,6,8.0
0812509234,"Alvin Journeyman (Tales of Alvin Maker, Book 4)",Orson Scott Card,1996,6,8.0
0517577550,Dave Barry Turns 40,Dave Barry,1990,6,8.0
0020518609,Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway,1987,6,8.0
0060557818,Neverwhere : A Novel,Neil Gaiman,2003,6,8.0
0486277860,The Awakening (Dover Thrift Editions),Kate Chopin,1993,6,8.0
038081658X,The Fresco,Sheri S. Tepper,2002,6,8.0
0425184315,Just Desserts,Claudia Bishop,2002,6,8.0
0893753440,Call of the Wild (A Watermill Classic),Jack London,1987,6,8.0
0380814382,True Confessions (Avon Romance),Rachel Gibson,2001,6,8.0
0345350480,Castle Roogna (Xanth Novels (Paperback)),Piers Anthony,1989,6,8.0
140004832X,Ambulance Girl: How I Saved Myself by Becoming an EMT,JANE STERN,2003,6,8.0
0375507639,A Long Way from Home: Growing Up in the American Heartland,Tom Brokaw,2002,6,8.0
0316911488,You Know You Love Me: A Gossip Girl Novel,Cecily von Ziegesar,2002,6,8.0
0380817446,The Legend of Bagger Vance,Steven Pressfield,2000,6,8.0
0449207552,Break in,Dick Francis,1997,6,8.0
1576738582,The Facts of Life : And Other Lessons My Father Taught Me,Lisa Whelchel,2001,6,8.0
840149186X,El Club de Los Poetas Muertos,N. H. Kleinbaum,1995,6,8.0
0972393617,Ultimate Unofficial Guide to the Mysteries of Harry Potter,Galadriel Waters,2003,6,8.0
0425179648,Marrying the Mistress,Joanna Trollope,2001,6,8.0
0312289197,Queenmaker: A Novel of King David's Queen,India Edghill,2002,6,8.0
0688156568,Culture Jam: The Uncooling of America,Kalle Lasn,1999,6,8.0
055327418X,"Startide Rising (The Uplift Saga, Book 2)",David Brin,1993,6,8.0
038081479X,Heart of a Warrior,Johanna Lindsey,2002,6,8.0
0394871804,"The Berenstain Bears on the Moon (Bright &amp; Early Book, Be 27)",Stan Berenstain,1985,6,8.0
0061093580,Heat,Stuart Woods,1995,6,8.0
0525946756,Skipping Towards Gomorrah: The Seven Deadly Sins and the Pursuit of Happiness in America,Dan Savage,2002,6,8.0
0671743074,GONE SOUTH,Robert McCammon,1993,6,8.0
3426616904,About a Boy,Nick Hornby,2002,6,8.0
0802150241,Endgame and Act Without Words,Samuel Beckett,1970,6,8.0
0394712587,The Plague,Albert Camus,1972,6,8.0
0553213024,Othello (Bantam Classics),William Shakespeare,1988,5,8.0
0451199693,Burnt Bones,Michael Slade,2000,5,8.0
0141182342,The Call of Cthulhu and Other Weird Stories (Penguin Twentieth-Century Classics),S. T. Joshi,1999,5,8.0
0440484839,Taran Wanderer (Chronicles of Prydain (Paperback)),LLOYD ALEXANDER,1969,5,8.0
0060234970,The Magician's Nephew (rpkg) (Narnia),C. S. Lewis,1994,5,8.0
0756400309,"Sea of Silver Light (Otherland, Book 4)",Tad Williams,2002,5,8.0
0140185011,Travels With My Aunt (Twentieth Century Classics),Graham Greene,1993,5,8.0
0743243315,Brick Lane : A Novel,Monica Ali,2004,5,8.0
0345428560,"Dark Tide II: Ruin (Star Wars: The New Jedi Order, Book 3)",Michael A. Stackpole,2000,5,8.0
0743454510,Second Glance : A Novel,Jodi Picoult,2004,5,8.0
0440206685,Doc: The Rape of the Town of Lovell,Jack Olsen,1990,5,8.0
0345417062,"Wit'ch Fire (The Banned and the Banished, Book 1)",James Clemens,1999,5,8.0
0380787075,Fear of Frying (Jane Jeffry Mysteries (Paperback)),Jill Churchill,1998,5,8.0
0451627261,The Classic Slave Narratives,Henry Louis Gates,1987,5,8.0
0446677507,Cat Haiku,Deborah Coates,2001,5,8.0
076455168X,Weight Training for Dummies,Liz  Neporent,2000,5,8.0
0670853097,The Stone Diaries,Carol Shields,1994,5,8.0
0451161394,Beloved,Toni Morrison,1991,5,8.0
0399147853,Time and Chance,Sharon Kay Penman,2002,5,8.0
0440417945,Dear Mr. Henshaw,Beverly Cleary,1992,5,8.0
0553801589,The Tail of the Tip-Off,RITA MAE BROWN,2003,5,8.0
0786884207,Don't Sweat the Small Stuff in Love,Richard Carlson,2000,5,8.0
3442723302,Die rote Couch.,Irvin D. Yalom,1998,5,8.0
0060977035,Still Missing,Beth Gutcheon,1996,5,8.0
0517548747,"Life, the Universe and Everything",Douglas Adams,1986,5,8.0
0393300560,Mismeasure of Man,Stephen Jay Gould,1983,5,8.0
0345334019,Escape the Night,Richard North Patterson,1995,5,8.0
0441003443,The Lodge of the Lynx (Adept),Katherine Kurtz,2003,5,8.0
0688077080,Prayer for Owen Meany,John Irving,1989,5,8.0
1580050298,The Mother Trip: Hip Mama's Guide to Staying Sane in the Chaos of Motherhood,Ariel Gore,2000,5,8.0
0670031410,Thieves in High Places: They've Stolen Our Country--And It's Time to Take It Back,Jim Hightower,2003,5,8.0
0345463404,The Defiant Hero,SUZANNE BROCKMANN,2003,5,8.0
0486266850,The Raven and Other Favorite Poems (Dover Thrift Editions),Edgar Allan Poe,1991,5,8.0
0451628055,Odyssey: The Story of Odysseus,Homer,1971,5,8.0
0451191307,The Portrait of a Lady,Henry James,1996,5,8.0
2070406962,Des chrÃ?Â©tiens et des maures,Daniel Pennac,1999,5,8.0
0380819201,Shadow Dance,Susan Andersen,2002,5,8.0
039592684X,"The Best American Short Stories 1999 (Best American Short Stories, 1999)",Amy Tan,1999,5,8.0
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,5,8.0
0140023747,Puckoon,Spike Milligan,1999,5,8.0
0375713123,The Rotters' Club (Vintage Contemporaries (Paperback)),Jonathan Coe,2003,5,8.0
0684850273,The FALL OF A SPARROW: A NOVEL,Robert Hellenga,1999,5,8.0
0786889101,I Am Spock,Leonard Nimoy,1996,5,8.0
0330400967,Exodus,Julie Bertangna,2003,5,8.0
0440241111,Slightly Scandalous (Get Connected Romances),Mary Balogh,2003,5,8.0
0590476769,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Schieszka,1992,5,8.0
1853260975,Tender Is the Night,F. Scott Fitzgerald,1999,5,8.0
0446602280,No One Here Gets Out Alive,Danny Sugarman,1995,5,8.0
0806518871,21st Century Wicca: A Young Witch's Guide to Living the Magical Life (Citadel Library of the Mystic Arts),Jennifer Hunter,1997,5,8.0
0440154731,Jailbird,Kurt Vonnegut,1992,5,8.0
0375432302,The Da Vinci Code (Random House Large Print),DAN BROWN,2003,5,8.0
0140620850,Vanity Fair (Penguin Popular Classics),William Makepeace Thackeray,1994,5,8.0
0380726262,Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1999,5,8.0
0448089025,The House on the Cliff  (The Hardy Boys Mystery Stories 2),Franklin W. Dixon,1991,5,8.0
0061067199,"Secret Circle Vol III: The Power (The Secret Circle, Vol. 3)",L. J. Smith,1992,5,8.0
0451210980,Bachelorette #1,Jennifer L. O'Connell,2003,5,8.0
0449221873,Mexico,James A. Michener,1994,5,8.0
0060191058,The Bachelor's Cat: A Love Story,L. F. Hoffman,1997,5,8.0
0751501999,Stark,Ben Elton,1989,5,8.0
0743455827,Body of Evidence (Csi),Max Allan Collins,2003,5,8.0
0446356573,A Stranger in the Mirror,Sidney Sheldon,1988,5,8.0
0312130279,The Bird Artist,Howard Norman,1995,5,8.0
0380385880,Shanna,Kathleen E. Woodiwiss,1978,5,8.0
8420633135,El Libro de Arena,Jorge Luis Borges,1997,5,8.0
2253072079,Le troupeau aveugle,John Brunner,1998,5,8.0
0446532371,Under the Boardwalk,Carly Phillips,2004,5,8.0
0671738267,MALICE DOMESTIC 1 (Malice Domestic (Paperback)),Martin Greenberg,1992,5,8.0
0786863137,Brain Droppings,George Carlin,1997,5,8.0
014044694X,The Maias (Penguin Classics),Eca De Queiros,1999,5,8.0
1853262218,Silas Marner (Wordsworth Collection),George Eliot,1998,5,8.0
1558749330,"Chicken Soup for the Nurse's Soul: 101 Stories to Celebrate, Honor and Inspire the Nursing Profession",Jack Canfield,2001,5,8.0
0743427149,The Twentieth Wife: A Novel,Indu Sundaresan,2002,5,8.0
0886778166,"Prince of Dogs (Crown of Stars, Vol 2)",Kate Elliott,1999,5,8.0
0441011020,Chindi,Jack McDevitt,2003,5,8.0
0553211803,Middlemarch (Wadsworth Series in Mass Communication),George Eliot,1996,5,8.0
0380809389,Murder Carries a Torch : A Southern Sisters Mystery (Southern Sisters Mysteries (Paperback)),Anne George,2001,5,8.0
0380812916,Tokyo Suckerpunch : A Billy Chaka Adventure,Isaac Adamson,2000,5,8.0
068481353X,CHILDREN'S BOOK OF VIRTUES,William J. Bennett,1995,5,8.0
0671698850,Knights of Ghosts &amp; Shadows,Mercedes Lackey,1990,5,8.0
0684852624,Shadow : Five Presidents and the Legacy of Watergate,Bob Woodward,1999,5,8.0
1560760478,Sojourn (Forgotten Realms Novel: Dark Elf Trilogy),R.A. Salvatore,1991,5,8.0
0345373529,"The Ruby Knight (Elenium, Book 2)",David Eddings,1991,5,8.0
0689831285,Just Ella,Margaret Peterson Haddix,2001,5,8.0
3442415578,Total verhext. Ein Roman von der bizarren Scheibenwelt.,Terry Pratchett,1994,5,8.0
3548245897,Hin und weg.,Ethan Hawke,1999,5,8.0
0671509810,ROMEO JULIET,William Shakespeare,1984,5,8.0
0380805596,Where River Turns to Sky,Gregg Kleiner,1999,5,8.0
0451410971,The Love of a Cowboy,Anna Jeffrey,2003,5,8.0
0312977689,Deadly Pleasure,Brenda Joyce,2002,5,8.0
8401462231,Contacto,Carl Sagan,1989,5,8.0
3499224674,Die Stadt der Blinden.,Jose Saramago,1999,5,8.0
0312283784,Alice's Tulips,Sandra Dallas,2001,5,8.0
0684859335,Las cenizas de Ã?ngela,Frank McCourt,1999,5,8.0
0452281768,The Kid: What Happened After My Boyfriend and I Decided to Go Get Pregnant : An Adoption Story,Dan Savage,2000,5,8.0
015694877X,The Waste Land and Other Poems,T. S. Eliot,1955,5,8.0
0671025589,"Weep No More, My Lady",Mary Higgins Clark,1998,5,8.0
0743205812,Fleeced : A Regan Reilly Mystery (Regan Reilly Mysteries (Hardcover)),Carol Higgins Clark,2001,5,8.0
0380757494,Piers Anthony's Visual Guide to Xanth (Xanth Novels (Paperback)),Piers Anthony,1989,5,8.0
1853262102,Age of Innocence (Wordsworth Classics),Edith Wharton,1997,5,8.0
0440226708,The Incredible Journey,SHEILA BURNFORD,1995,5,8.0
3453002393,Todesmarsch. Roman.,Richard Bachman,1987,5,8.0
0375505997,The Truth Is... My Life in Love and Music,Melissa Etheridge,2001,5,8.0
0441662633,"Phaze Doubt (Apprentice Adept Series, Book 7)",Piers Anthony,1994,5,8.0
0345425782,Dave Barry Is from Mars and Venus,DAVE BARRY,1998,5,8.0
0399137203,Turtle Moon,Alice Hoffman,1992,5,8.0
0394521110,The Parsifal Mosaic,Robert Ludlum,1982,5,8.0
037550298X,Geeks: How Two Lost Boys Rode the Internet Out of Idaho,Jon Katz,2000,5,8.0
0425174018,Hush Money (Spenser Mysteries),Robert B. Parker,2000,5,8.0
0553107755,Fierce Invalids Home from Hot Climates,TOM ROBBINS,2000,5,8.0
0553574582,With Child,Laurie R. King,1997,5,8.0
0425190838,Track of the Cat,Nevada Barr,2003,5,8.0
0060973722,Men at Work : The Craft of Baseball,George F. Will,1991,5,8.0
958704049X,El hombre duplicado,Jose Saramago,2002,5,8.0
0440215730,Recalled to Life (Dalziel and Pascoe Mysteries (Paperback)),REGINALD HILL,1993,5,8.0
0460877305,The King Amaz'D: A Chronicle (Everyman's Library (Paper)),Gonzalo Torrente Ballester,1996,5,8.0
0688117619,Mayo Clinic Complete Book of Pregnancy &amp; Baby's First Year,Mayo Clinic,1994,5,8.0
0743411374,Say When : A Novel,Elizabeth Berg,2004,5,8.0
0446614041,Street Dreams,Faye Kellerman,2004,5,8.0
0671042394,"Renaissance (Star Trek New Frontier: Excalibur, Book 2)",Peter David,2000,5,8.0
0307987655,"Eeyore, You're the Best (Disney's Pooh)",Ann Braybrooks,1996,5,8.0
0375725466,The Buffalo Soldier : A Novel,CHRIS BOHJALIAN,2003,5,8.0
0373273037,Last Seen...  (Cherokee Corners),Carla Cassidy,2003,5,8.0
1582341400,A Cook's Tour,Anthony Bourdain,2001,5,8.0
0452279186,!Yo!,Julia Alvarez,1997,5,8.0
0060988096,Adventures in a TV Nation,Michael Moore,1998,5,8.0
0140231900,Mr. Vertigo,Paul Auster,1995,5,8.0
0671749609,PERFUME : PERFUME,Patrick Suskind,1991,5,8.0
0441011632,Nightingale's Lament: A Novel of the Nightside,Simon R. Green,2004,5,8.0
8423951596,De Todo Lo Visible Y Lo Invisible: Una Novela Sobre El Amor Y Otras Mentiras (Coleccion Ancora y Delfin),Lucia Etxebarria,2002,5,8.0
044020352X,Anguished English: An Anthology of Accidental Assaults Upon Our Language,RICHARD LEDERER,1989,5,8.0
0525941673,Cavedweller,Dorothy Allison,1998,5,8.0
0452282292,Cool Dead People: Obituaries of Real Folks We Wish We'd Met a Little Sooner,Jane O'Boyle,2001,5,8.0
0811833615,The Bad Girl's Guide to the Party Life,Cameron Tuttle,2002,5,8.0
0743436601,The Women of Primrose Creek (Omnibus) : Bridget/Christy/Skye/Megan,Linda Lael Miller,2002,5,8.0
